,label,text
10,beef,Kirkland Signature USDA Choice Beef Loin Top Whole (New York) Kirkland Signature USDA Choice Beef Loin Top Whole (New York) Kirkland Signature USDA Choice Beef Loin Top Whole (New York) Kirkland Signature USDA Choice Beef Loin Top Whole (New York) Kirkland Signature USDA Choice Beef Loin Top Whole (New York) Kirkland Signature USDA Choice Beef Loin Top Whole (New York) Kirkland Signature USDA Choice Beef Loin Top Whole (New York)    
11,beef,Kirkland Signature Ground Beef 88% Lean / 12% Fat Kirkland Signature Ground Beef 88% Lean / 12% Fat Kirkland Signature Ground Beef 88% Lean / 12% Fat Kirkland Signature Ground Beef 88% Lean / 12% Fat Kirkland Signature Ground Beef 88% Lean / 12% Fat Kirkland Signature Ground Beef 88% Lean / 12% Fat Kirkland Signature Ground Beef 88% Lean / 12% Fat    
12,deli meat,"Castle Wood Reserve Sliced Honey Ham, 16 oz Castle Wood Reserve Sliced Honey Ham, 16 oz Castle Wood Reserve Sliced Honey Ham, 16 oz Castle Wood Reserve Sliced Honey Ham, 16 oz Castle Wood Reserve Sliced Honey Ham, 16 oz Castle Wood Reserve Sliced Honey Ham, 16 oz Castle Wood Reserve Sliced Honey Ham, 16 oz pork, cured with water, honey, contains less than 2%  salt, brown sugar, sugar, spice extractives, sodium lactate, sodium phosphate, sodium nitrite, sodium erythorbate, sodium diacetate pork, cured with water, honey, contains less than 2%  salt, brown sugar, sugar, spice extractives, sodium lactate, sodium phosphate, sodium nitrite, sodium erythorbate, sodium diacetate pork, cured with water, honey, contains less than 2%  salt, brown sugar, sugar, spice extractives, sodium lactate, sodium phosphate, sodium nitrite, sodium erythorbate, sodium diacetate "
13,pork,Swift Premium Pork St. Louis Spare Ribs Swift Premium Pork St. Louis Spare Ribs Swift Premium Pork St. Louis Spare Ribs Swift Premium Pork St. Louis Spare Ribs Swift Premium Pork St. Louis Spare Ribs Swift Premium Pork St. Louis Spare Ribs Swift Premium Pork St. Louis Spare Ribs    
14,pork,Kirkland Signature Pork Loin Top Chops Boneless Kirkland Signature Pork Loin Top Chops Boneless Kirkland Signature Pork Loin Top Chops Boneless Kirkland Signature Pork Loin Top Chops Boneless Kirkland Signature Pork Loin Top Chops Boneless Kirkland Signature Pork Loin Top Chops Boneless Kirkland Signature Pork Loin Top Chops Boneless    
15,pork,"Lloyds Signature Seasoned and Smoked Baby Back Pork Ribs in Original BBQ Sauce 40 oz 25 lbs Lloyds Signature Seasoned and Smoked Baby Back Pork Ribs in Original BBQ Sauce 40 oz 25 lbs Lloyds Signature Seasoned and Smoked Baby Back Pork Ribs in Original BBQ Sauce 40 oz 25 lbs Lloyds Signature Seasoned and Smoked Baby Back Pork Ribs in Original BBQ Sauce 40 oz 25 lbs Lloyds Signature Seasoned and Smoked Baby Back Pork Ribs in Original BBQ Sauce 40 oz 25 lbs Lloyds Signature Seasoned and Smoked Baby Back Pork Ribs in Original BBQ Sauce 40 oz 25 lbs Lloyds Signature Seasoned and Smoked Baby Back Pork Ribs in Original BBQ Sauce 40 oz 25 lbs cooked pork babyback ribs, tomato puree (water, tomato paste), high fructose corn syrup, contains 2% or less of vinegar, seasoning rub (sugar, spices, salt, paprika, dextrose, garlic powder, cocoa powder processed with alkali, tamarind extract corn syrup, prune juice concentrate, extractives of tamarind, water, tartaric acid, caramel color, citric acid, molasses, tocopherols, sunflower oil, natural flavors), molasses, seasoning blend (modified cornstarch, salt, chili pepper, onion powder, paprika, garlic po cooked pork babyback ribs, tomato puree (water, tomato paste), high fructose corn syrup, contains 2% or less of vinegar, seasoning rub (sugar, spices, salt, paprika, dextrose, garlic powder, cocoa powder processed with alkali, tamarind extract corn syrup, prune juice concentrate, extractives of tamarind, water, tartaric acid, caramel color, citric acid, molasses, tocopherols, sunflower oil, natural flavors), molasses, seasoning blend (modified cornstarch, salt, chili pepper, onion powder, paprika, garlic po cooked pork babyback ribs, tomato puree (water, tomato paste), high fructose corn syrup, contains 2% or less of vinegar, seasoning rub (sugar, spices, salt, paprika, dextrose, garlic powder, cocoa powder processed with alkali, tamarind extract corn syrup, prune juice concentrate, extractives of tamarind, water, tartaric acid, caramel color, citric acid, molasses, tocopherols, sunflower oil, natural flavors), molasses, seasoning blend (modified cornstarch, salt, chili pepper, onion powder, paprika, garlic po "
16,deli meat,"Bar S America's Favorite Jumbo Franks, 16 Oz Bar S America's Favorite Jumbo Franks, 16 Oz Bar S America's Favorite Jumbo Franks, 16 Oz Bar S America's Favorite Jumbo Franks, 16 Oz Bar S America's Favorite Jumbo Franks, 16 Oz Bar S America's Favorite Jumbo Franks, 16 Oz Bar S America's Favorite Jumbo Franks, 16 Oz mechanically separated chicken, water, pork, dextrose, modified corn starch, salt, contains 2% or less of the following beef, corn syrup, flavorings, sodium phosphates, potassium lactate, potassium acetate, sodium diacetate, sodium erythorbate, oleoresin of paprika, sodium nitrite, smoke flavoring mechanically separated chicken, water, pork, dextrose, modified corn starch, salt, contains 2% or less of the following beef, corn syrup, flavorings, sodium phosphates, potassium lactate, potassium acetate, sodium diacetate, sodium erythorbate, oleoresin of paprika, sodium nitrite, smoke flavoring mechanically separated chicken, water, pork, dextrose, modified corn starch, salt, contains 2% or less of the following beef, corn syrup, flavorings, sodium phosphates, potassium lactate, potassium acetate, sodium diacetate, sodium erythorbate, oleoresin of paprika, sodium nitrite, smoke flavoring "
17,deli meat,"Bar S Franks Made with Chicken Pork, 12 Oz Bar S Franks Made with Chicken Pork, 12 Oz Bar S Franks Made with Chicken Pork, 12 Oz Bar S Franks Made with Chicken Pork, 12 Oz Bar S Franks Made with Chicken Pork, 12 Oz Bar S Franks Made with Chicken Pork, 12 Oz Bar S Franks Made with Chicken Pork, 12 Oz mechanically separated chicken, water, pork, dextrose, modified corn starch, salt, contains 2% or less of the following beef, corn syrup, flavorings, sodium phosphates, potassium lactate, potassium acetate, sodium diacetate, sodium erythorbate, oleoresin of paprika, sodium nitrite, smoke flavoring mechanically separated chicken, water, pork, dextrose, modified corn starch, salt, contains 2% or less of the following beef, corn syrup, flavorings, sodium phosphates, potassium lactate, potassium acetate, sodium diacetate, sodium erythorbate, oleoresin of paprika, sodium nitrite, smoke flavoring mechanically separated chicken, water, pork, dextrose, modified corn starch, salt, contains 2% or less of the following beef, corn syrup, flavorings, sodium phosphates, potassium lactate, potassium acetate, sodium diacetate, sodium erythorbate, oleoresin of paprika, sodium nitrite, smoke flavoring "
18,deli meat,"Bar S Bun Length Franks Family Pack, 48 Oz, 24 Count Bar S Bun Length Franks Family Pack, 48 Oz, 24 Count Bar S Bun Length Franks Family Pack, 48 Oz, 24 Count Bar S Bun Length Franks Family Pack, 48 Oz, 24 Count Bar S Bun Length Franks Family Pack, 48 Oz, 24 Count Bar S Bun Length Franks Family Pack, 48 Oz, 24 Count Bar S Bun Length Franks Family Pack, 48 Oz, 24 Count mechanically separated chicken, water, pork, dextrose, modified corn starch, salt, contains 2% or less of the following beef, corn syrup, flavorings, sodium phosphates, potassium lactate, potassium acetate, sodium diacetate, sodium erythorbate, oleoresin of paprika, sodium nitrite, smoke flavoring mechanically separated chicken, water, pork, dextrose, modified corn starch, salt, contains 2% or less of the following beef, corn syrup, flavorings, sodium phosphates, potassium lactate, potassium acetate, sodium diacetate, sodium erythorbate, oleoresin of paprika, sodium nitrite, smoke flavoring mechanically separated chicken, water, pork, dextrose, modified corn starch, salt, contains 2% or less of the following beef, corn syrup, flavorings, sodium phosphates, potassium lactate, potassium acetate, sodium diacetate, sodium erythorbate, oleoresin of paprika, sodium nitrite, smoke flavoring "
19,pork,"Hormel Salt Pork, Sliced, 12 oz Hormel Salt Pork, Sliced, 12 oz Hormel Salt Pork, Sliced, 12 oz Hormel Salt Pork, Sliced, 12 oz Hormel Salt Pork, Sliced, 12 oz Hormel Salt Pork, Sliced, 12 oz Hormel Salt Pork, Sliced, 12 oz cured with water, salt, sugar, dextrose, sodium erythorbate, sodium nitrate cured with water, salt, sugar, dextrose, sodium erythorbate, sodium nitrate cured with water, salt, sugar, dextrose, sodium erythorbate, sodium nitrate "
20,deli meat,"Hormel Pepperoni, 20 Oz Hormel Pepperoni, 20 Oz Hormel Pepperoni, 20 Oz Hormel Pepperoni, 20 Oz Hormel Pepperoni, 20 Oz Hormel Pepperoni, 20 Oz Hormel Pepperoni, 20 Oz pork, beef, salt, contains 2% or less of water, dextrose, spices, oleoresin of paprika, lactic acid, starter culture, garlic powder, sodium nitrite, bha, bht, citric acid pork, beef, salt, contains 2% or less of water, dextrose, spices, oleoresin of paprika, lactic acid, starter culture, garlic powder, sodium nitrite, bha, bht, citric acid pork, beef, salt, contains 2% or less of water, dextrose, spices, oleoresin of paprika, lactic acid, starter culture, garlic powder, sodium nitrite, bha, bht, citric acid "
21,deli meat,"Hormel Black Label Fully Cooked Bacon, 25 Oz Hormel Black Label Fully Cooked Bacon, 25 Oz Hormel Black Label Fully Cooked Bacon, 25 Oz Hormel Black Label Fully Cooked Bacon, 25 Oz Hormel Black Label Fully Cooked Bacon, 25 Oz Hormel Black Label Fully Cooked Bacon, 25 Oz Hormel Black Label Fully Cooked Bacon, 25 Oz cured with water, salt, sugar, sodium erythorbate, sodium nitrite cured with water, salt, sugar, sodium erythorbate, sodium nitrite cured with water, salt, sugar, sodium erythorbate, sodium nitrite "
22,deli meat,"Hormel 70% Less Fat Turkey Pepperoni, 5 Oz Hormel 70% Less Fat Turkey Pepperoni, 5 Oz Hormel 70% Less Fat Turkey Pepperoni, 5 Oz Hormel 70% Less Fat Turkey Pepperoni, 5 Oz Hormel 70% Less Fat Turkey Pepperoni, 5 Oz Hormel 70% Less Fat Turkey Pepperoni, 5 Oz Hormel 70% Less Fat Turkey Pepperoni, 5 Oz dark turkey meat, salt, spices, contains 2% or less of water, dextrose, smoke flavoring, lactic acid starter culture, flavoring, oleoresin of paprika, garlic powder, sodium nitrite, citric acid, bha, bht dark turkey meat, salt, spices, contains 2% or less of water, dextrose, smoke flavoring, lactic acid starter culture, flavoring, oleoresin of paprika, garlic powder, sodium nitrite, citric acid, bha, bht dark turkey meat, salt, spices, contains 2% or less of water, dextrose, smoke flavoring, lactic acid starter culture, flavoring, oleoresin of paprika, garlic powder, sodium nitrite, citric acid, bha, bht "
23,pork,"Hormel Foods BLACK LABEL Can Ham, 48 oz Hormel Foods BLACK LABEL Can Ham, 48 oz Hormel Foods BLACK LABEL Can Ham, 48 oz Hormel Foods BLACK LABEL Can Ham, 48 oz Hormel Foods BLACK LABEL Can Ham, 48 oz Hormel Foods BLACK LABEL Can Ham, 48 oz Hormel Foods BLACK LABEL Can Ham, 48 oz cured with water, salt, dextrose, sodium phosphates, sodium nitrite cured with water, salt, dextrose, sodium phosphates, sodium nitrite cured with water, salt, dextrose, sodium phosphates, sodium nitrite "
24,deli meat,"Hormel Black Label Original Bacon, 16 Oz Hormel Black Label Original Bacon, 16 Oz Hormel Black Label Original Bacon, 16 Oz Hormel Black Label Original Bacon, 16 Oz Hormel Black Label Original Bacon, 16 Oz Hormel Black Label Original Bacon, 16 Oz Hormel Black Label Original Bacon, 16 Oz cured with water, salt, sugar, dextrose, sodium erythorbate, sodium nitrite cured with water, salt, sugar, dextrose, sodium erythorbate, sodium nitrite cured with water, salt, sugar, dextrose, sodium erythorbate, sodium nitrite "
25,deli meat,"Jones Dairy Farm Sliced Braunschweiger Liverwurst, 8 Oz Jones Dairy Farm Sliced Braunschweiger Liverwurst, 8 Oz Jones Dairy Farm Sliced Braunschweiger Liverwurst, 8 Oz Jones Dairy Farm Sliced Braunschweiger Liverwurst, 8 Oz Jones Dairy Farm Sliced Braunschweiger Liverwurst, 8 Oz Jones Dairy Farm Sliced Braunschweiger Liverwurst, 8 Oz Jones Dairy Farm Sliced Braunschweiger Liverwurst, 8 Oz pork livers, pork, bacon (cured with water, salt, sugar, sodium phosphates, sodium ascorbate , sodium erythorbate, sodium nitrite), potassium lactate, water, salt, spices, dehydrated onions, sodium diacetate, sodium ascorbate, sugar, sodium nitrite pork livers, pork, bacon (cured with water, salt, sugar, sodium phosphates, sodium ascorbate , sodium erythorbate, sodium nitrite), potassium lactate, water, salt, spices, dehydrated onions, sodium diacetate, sodium ascorbate, sugar, sodium nitrite pork livers, pork, bacon (cured with water, salt, sugar, sodium phosphates, sodium ascorbate , sodium erythorbate, sodium nitrite), potassium lactate, water, salt, spices, dehydrated onions, sodium diacetate, sodium ascorbate, sugar, sodium nitrite "
26,deli meat,"Hormel Pizza Style Canadian Bacon, 6 Oz Hormel Pizza Style Canadian Bacon, 6 Oz Hormel Pizza Style Canadian Bacon, 6 Oz Hormel Pizza Style Canadian Bacon, 6 Oz Hormel Pizza Style Canadian Bacon, 6 Oz Hormel Pizza Style Canadian Bacon, 6 Oz Hormel Pizza Style Canadian Bacon, 6 Oz cured with water, salt, potassium lactate, sugar, sodium phosphate, sodium diacetate, smoke flavoring, sodium erythorbate, sodium nitrite cured with water, salt, potassium lactate, sugar, sodium phosphate, sodium diacetate, smoke flavoring, sodium erythorbate, sodium nitrite cured with water, salt, potassium lactate, sugar, sodium phosphate, sodium diacetate, smoke flavoring, sodium erythorbate, sodium nitrite "
27,deli meat,"Hormel Pepperoni Pack, 8 Oz Hormel Pepperoni Pack, 8 Oz Hormel Pepperoni Pack, 8 Oz Hormel Pepperoni Pack, 8 Oz Hormel Pepperoni Pack, 8 Oz Hormel Pepperoni Pack, 8 Oz Hormel Pepperoni Pack, 8 Oz pork, beef, salt, contains 2% or less of water, dextrose, spices, lactic acid starter culture, sodium ascorbate, oleoresin of paprika, garlic powder, sodium nitrate, bha, bht, citric acid in collagen casing pork, beef, salt, contains 2% or less of water, dextrose, spices, lactic acid starter culture, sodium ascorbate, oleoresin of paprika, garlic powder, sodium nitrate, bha, bht, citric acid in collagen casing pork, beef, salt, contains 2% or less of water, dextrose, spices, lactic acid starter culture, sodium ascorbate, oleoresin of paprika, garlic powder, sodium nitrate, bha, bht, citric acid in collagen casing "
28,deli meat,"Oscar Mayer Oven Roasted White Turkey, 16 Oz Oscar Mayer Oven Roasted White Turkey, 16 Oz Oscar Mayer Oven Roasted White Turkey, 16 Oz Oscar Mayer Oven Roasted White Turkey, 16 Oz Oscar Mayer Oven Roasted White Turkey, 16 Oz Oscar Mayer Oven Roasted White Turkey, 16 Oz Oscar Mayer Oven Roasted White Turkey, 16 Oz white turkey, water, modified food starch, contains less than 2% of salt, sodium phosphates, sugar, sodium propionate, sodium diacetate, sodium benzoate, sodium ascorbate, sodium nitrite white turkey, water, modified food starch, contains less than 2% of salt, sodium phosphates, sugar, sodium propionate, sodium diacetate, sodium benzoate, sodium ascorbate, sodium nitrite white turkey, water, modified food starch, contains less than 2% of salt, sodium phosphates, sugar, sodium propionate, sodium diacetate, sodium benzoate, sodium ascorbate, sodium nitrite "
29,deli meat,"Plumrose 97% FatFree Deli Sliced Premium Ham, 12 Oz Plumrose 97% FatFree Deli Sliced Premium Ham, 12 Oz Plumrose 97% FatFree Deli Sliced Premium Ham, 12 Oz Plumrose 97% FatFree Deli Sliced Premium Ham, 12 Oz Plumrose 97% FatFree Deli Sliced Premium Ham, 12 Oz Plumrose 97% FatFree Deli Sliced Premium Ham, 12 Oz Plumrose 97% FatFree Deli Sliced Premium Ham, 12 Oz cured with water, salt, dextrose, potassium lactate, sodium phosphate, sodium diacetate, sodium erythorbate, sodium nitrite, flavor cured with water, salt, dextrose, potassium lactate, sodium phosphate, sodium diacetate, sodium erythorbate, sodium nitrite, flavor cured with water, salt, dextrose, potassium lactate, sodium phosphate, sodium diacetate, sodium erythorbate, sodium nitrite, flavor "
30,deli meat,"Oscar Mayer BunLength Uncured Wieners, 16 Oz, 8 Count Oscar Mayer BunLength Uncured Wieners, 16 Oz, 8 Count Oscar Mayer BunLength Uncured Wieners, 16 Oz, 8 Count Oscar Mayer BunLength Uncured Wieners, 16 Oz, 8 Count Oscar Mayer BunLength Uncured Wieners, 16 Oz, 8 Count Oscar Mayer BunLength Uncured Wieners, 16 Oz, 8 Count Oscar Mayer BunLength Uncured Wieners, 16 Oz, 8 Count mechanically separated turkey, mechanically separated chicken, pork, water, cultured dextrose, contains less than 2% of dextrose, salt, corn syrup, distilled white vinegar, cultured celery juice, sodium phosphate, cherry powder, flavor  used to preserve quality mechanically separated turkey, mechanically separated chicken, pork, water, cultured dextrose, contains less than 2% of dextrose, salt, corn syrup, distilled white vinegar, cultured celery juice, sodium phosphate, cherry powder, flavor  used to preserve quality mechanically separated turkey, mechanically separated chicken, pork, water, cultured dextrose, contains less than 2% of dextrose, salt, corn syrup, distilled white vinegar, cultured celery juice, sodium phosphate, cherry powder, flavor  used to preserve quality "
31,deli meat,"Oscar Mayer Uncured Cheese Dogs, 16 Oz, 10 Count Oscar Mayer Uncured Cheese Dogs, 16 Oz, 10 Count Oscar Mayer Uncured Cheese Dogs, 16 Oz, 10 Count Oscar Mayer Uncured Cheese Dogs, 16 Oz, 10 Count Oscar Mayer Uncured Cheese Dogs, 16 Oz, 10 Count Oscar Mayer Uncured Cheese Dogs, 16 Oz, 10 Count Oscar Mayer Uncured Cheese Dogs, 16 Oz, 10 Count mechanically separated turkey, mechanically separated chicken, pork, water, pasteurized prepared cheddar cheese product (milk, water, milk protein concentrate, milk fat, whey protein concentrate, sodium phosphate, salt, sodium alginate, sorbic acid as a preservative, apocarotenal color, enzymes, cheese culture), cultured dextrose, contains less than 2% of dextrose, salt, corn syrup, distilled white vinegar, cultured celery juice, sodium phosphate, cherry powder, flavor  used to preserve quality contains mil mechanically separated turkey, mechanically separated chicken, pork, water, pasteurized prepared cheddar cheese product (milk, water, milk protein concentrate, milk fat, whey protein concentrate, sodium phosphate, salt, sodium alginate, sorbic acid as a preservative, apocarotenal color, enzymes, cheese culture), cultured dextrose, contains less than 2% of dextrose, salt, corn syrup, distilled white vinegar, cultured celery juice, sodium phosphate, cherry powder, flavor  used to preserve quality contains mil mechanically separated turkey, mechanically separated chicken, pork, water, pasteurized prepared cheddar cheese product (milk, water, milk protein concentrate, milk fat, whey protein concentrate, sodium phosphate, salt, sodium alginate, sorbic acid as a preservative, apocarotenal color, enzymes, cheese culture), cultured dextrose, contains less than 2% of dextrose, salt, corn syrup, distilled white vinegar, cultured celery juice, sodium phosphate, cherry powder, flavor  used to preserve quality contains mil "
32,deli meat,"Oscar Mayer Uncured Classic Wieners, 16 Oz, 10 Count Oscar Mayer Uncured Classic Wieners, 16 Oz, 10 Count Oscar Mayer Uncured Classic Wieners, 16 Oz, 10 Count Oscar Mayer Uncured Classic Wieners, 16 Oz, 10 Count Oscar Mayer Uncured Classic Wieners, 16 Oz, 10 Count Oscar Mayer Uncured Classic Wieners, 16 Oz, 10 Count Oscar Mayer Uncured Classic Wieners, 16 Oz, 10 Count mechanically separated turkey, mechanically separated chicken, pork, water, cultured dextrose, contains less than 2% of dextrose, salt, corn syrup, distilled white vinegar, cultured celery juice, sodium phosphate, cherry powder, flavor  used to preserve quality mechanically separated turkey, mechanically separated chicken, pork, water, cultured dextrose, contains less than 2% of dextrose, salt, corn syrup, distilled white vinegar, cultured celery juice, sodium phosphate, cherry powder, flavor  used to preserve quality mechanically separated turkey, mechanically separated chicken, pork, water, cultured dextrose, contains less than 2% of dextrose, salt, corn syrup, distilled white vinegar, cultured celery juice, sodium phosphate, cherry powder, flavor  used to preserve quality "
33,deli meat,"Oscar Mayer Bologna Vacuum Pack, 16 Oz Oscar Mayer Bologna Vacuum Pack, 16 Oz Oscar Mayer Bologna Vacuum Pack, 16 Oz Oscar Mayer Bologna Vacuum Pack, 16 Oz Oscar Mayer Bologna Vacuum Pack, 16 Oz Oscar Mayer Bologna Vacuum Pack, 16 Oz Oscar Mayer Bologna Vacuum Pack, 16 Oz mechanically separated chicken, pork, corn syrup, water, contains less than 2% of salt, ground mustard seed, sodium phosphates, potassium chloride, sodium propionate, sodium diacetate, beef, sodium benzoate, flavor, sodium ascorbate, sodium nitrite, hydrolyzed beef stock, autolyzed yeast, dextrose, extractives of paprika, sodium lactate, potassium lactate, celery seed extract mechanically separated chicken, pork, corn syrup, water, contains less than 2% of salt, ground mustard seed, sodium phosphates, potassium chloride, sodium propionate, sodium diacetate, beef, sodium benzoate, flavor, sodium ascorbate, sodium nitrite, hydrolyzed beef stock, autolyzed yeast, dextrose, extractives of paprika, sodium lactate, potassium lactate, celery seed extract mechanically separated chicken, pork, corn syrup, water, contains less than 2% of salt, ground mustard seed, sodium phosphates, potassium chloride, sodium propionate, sodium diacetate, beef, sodium benzoate, flavor, sodium ascorbate, sodium nitrite, hydrolyzed beef stock, autolyzed yeast, dextrose, extractives of paprika, sodium lactate, potassium lactate, celery seed extract "
34,deli meat,"Oscar Mayer Beef Bologna Vacuum Pack, 16 Oz Oscar Mayer Beef Bologna Vacuum Pack, 16 Oz Oscar Mayer Beef Bologna Vacuum Pack, 16 Oz Oscar Mayer Beef Bologna Vacuum Pack, 16 Oz Oscar Mayer Beef Bologna Vacuum Pack, 16 Oz Oscar Mayer Beef Bologna Vacuum Pack, 16 Oz Oscar Mayer Beef Bologna Vacuum Pack, 16 Oz beef, water, corn syrup, contains less than 2% of salt, potassium lactate, ground mustard seed, dextrose, hydrolyzed beef stock, sodium lactate, autolyzed yeast, sodium phosphates, sodium diacetate, sodium ascorbate, sodium nitrite, dried garlic, extractives of paprika, flavor, celery seed extract beef, water, corn syrup, contains less than 2% of salt, potassium lactate, ground mustard seed, dextrose, hydrolyzed beef stock, sodium lactate, autolyzed yeast, sodium phosphates, sodium diacetate, sodium ascorbate, sodium nitrite, dried garlic, extractives of paprika, flavor, celery seed extract beef, water, corn syrup, contains less than 2% of salt, potassium lactate, ground mustard seed, dextrose, hydrolyzed beef stock, sodium lactate, autolyzed yeast, sodium phosphates, sodium diacetate, sodium ascorbate, sodium nitrite, dried garlic, extractives of paprika, flavor, celery seed extract "
35,deli meat,"Oscar Mayer Beef Bologna Vacuum Pack, 8 Oz Oscar Mayer Beef Bologna Vacuum Pack, 8 Oz Oscar Mayer Beef Bologna Vacuum Pack, 8 Oz Oscar Mayer Beef Bologna Vacuum Pack, 8 Oz Oscar Mayer Beef Bologna Vacuum Pack, 8 Oz Oscar Mayer Beef Bologna Vacuum Pack, 8 Oz Oscar Mayer Beef Bologna Vacuum Pack, 8 Oz beef, water, corn syrup, contains less than 2% of salt, potassium lactate, ground mustard seed, dextrose, hydrolyzed beef stock, sodium lactate, autolyzed yeast, sodium phosphates, sodium diacetate, sodium ascorbate, sodium nitrite, dried garlic, extractives of paprika, flavor, celery seed extract beef, water, corn syrup, contains less than 2% of salt, potassium lactate, ground mustard seed, dextrose, hydrolyzed beef stock, sodium lactate, autolyzed yeast, sodium phosphates, sodium diacetate, sodium ascorbate, sodium nitrite, dried garlic, extractives of paprika, flavor, celery seed extract beef, water, corn syrup, contains less than 2% of salt, potassium lactate, ground mustard seed, dextrose, hydrolyzed beef stock, sodium lactate, autolyzed yeast, sodium phosphates, sodium diacetate, sodium ascorbate, sodium nitrite, dried garlic, extractives of paprika, flavor, celery seed extract "
