text,labels,productCode,productName,oldCategory,oldType,productCategory,WRONG,asdadsa
"10292129Walmart Nabisco Nutter Butter Peanut Sandwich Cookies, 19 Oz, 12 Count pantry candy & snacks snacks, chips, salsas & dips",cookies & crackers,10292129Walmart,"Nabisco Nutter Butter Peanut Sandwich Cookies, 19 Oz, 12 Count",pantry,candy & snacks,"snacks, chips, salsas & dips",,cookies & crackers
"10292131Walmart Nabisco Oreo, Oreo Double Stuff, Golden, 212 Oz, 12 Count pantry candy & snacks snacks, chips, salsas & dips",cookies & crackers,10292131Walmart,"Nabisco Oreo, Oreo Double Stuff, Golden, 212 Oz, 12 Count",pantry,candy & snacks,"snacks, chips, salsas & dips",,cookies & crackers
"10292136Walmart Nabisco Newton's FatFree Fig Fruit Chewy Cookies, 21 Oz, 12 Count pantry candy & snacks snacks, chips, salsas & dips",cookies & crackers,10292136Walmart,"Nabisco Newton's FatFree Fig Fruit Chewy Cookies, 21 Oz, 12 Count",pantry,candy & snacks,"snacks, chips, salsas & dips",,cookies & crackers
"10292138Walmart Nabisco Ritz Cheese Cracker Sandwiches, 135 Oz, 8 Count pantry candy & snacks snacks, chips, salsas & dips",cookies & crackers,10292138Walmart,"Nabisco Ritz Cheese Cracker Sandwiches, 135 Oz, 8 Count",pantry,candy & snacks,"snacks, chips, salsas & dips",,cookies & crackers
"10292637Walmart Nabisco Original Chicken in a Biskit Snack Crackers, 12 Oz pantry candy & snacks snacks, chips, salsas & dips",cookies & crackers,10292637Walmart,"Nabisco Original Chicken in a Biskit Snack Crackers, 12 Oz",pantry,candy & snacks,"snacks, chips, salsas & dips",,cookies & crackers
"10292638Walmart Nabisco Lorna Doone Shortbread Cookies, 1 Oz, 10 Count pantry candy & snacks snacks, chips, salsas & dips",cookies & crackers,10292638Walmart,"Nabisco Lorna Doone Shortbread Cookies, 1 Oz, 10 Count",pantry,candy & snacks,"snacks, chips, salsas & dips",,cookies & crackers
"10292697Walmart Nabisco Wheat Thins Reduced Fat Snack Crackers, 145 Oz pantry candy & snacks snacks, chips, salsas & dips",cookies & crackers,10292697Walmart,"Nabisco Wheat Thins Reduced Fat Snack Crackers, 145 Oz",pantry,candy & snacks,"snacks, chips, salsas & dips",,cookies & crackers
"10292698Walmart Nabisco Honey Maid Cinnamon Grahams, 144 Oz pantry candy & snacks snacks, chips, salsas & dips",cookies & crackers,10292698Walmart,"Nabisco Honey Maid Cinnamon Grahams, 144 Oz",pantry,candy & snacks,"snacks, chips, salsas & dips",,cookies & crackers
"10292702Walmart Nabisco Nilla Reduced Fat Wafers, 11 Oz pantry candy & snacks snacks, chips, salsas & dips",cookies & crackers,10292702Walmart,"Nabisco Nilla Reduced Fat Wafers, 11 Oz",pantry,candy & snacks,"snacks, chips, salsas & dips",,cookies & crackers
"10292704Walmart Nabisco Original Grahams Crackers, 144 Oz pantry candy & snacks snacks, chips, salsas & dips",cookies & crackers,10292704Walmart,"Nabisco Original Grahams Crackers, 144 Oz",pantry,candy & snacks,"snacks, chips, salsas & dips",,cookies & crackers
"10292706Walmart Nabisco Honey Maid Low Fat Cinnamon Graham Crackers, 144 Oz pantry candy & snacks snacks, chips, salsas & dips",cookies & crackers,10292706Walmart,"Nabisco Honey Maid Low Fat Cinnamon Graham Crackers, 144 Oz",pantry,candy & snacks,"snacks, chips, salsas & dips",,cookies & crackers
"10292712Walmart Nabisco Honey Maid Chocolate Chip Teddy Graham Snacks, 10 Oz pantry candy & snacks snacks, chips, salsas & dips",cookies & crackers,10292712Walmart,"Nabisco Honey Maid Chocolate Chip Teddy Graham Snacks, 10 Oz",pantry,candy & snacks,"snacks, chips, salsas & dips",,cookies & crackers
"10292718Walmart Nabisco Nutter Butter Creme Patties, 105 Oz pantry candy & snacks snacks, chips, salsas & dips",cookies & crackers,10292718Walmart,"Nabisco Nutter Butter Creme Patties, 105 Oz",pantry,candy & snacks,"snacks, chips, salsas & dips",,cookies & crackers
"10292722Walmart Oreo Chocolate Sandwich Cookies, 52 oz pantry candy & snacks snacks, chips, salsas & dips",cookies & crackers,10292722Walmart,"Oreo Chocolate Sandwich Cookies, 52 oz",pantry,candy & snacks,"snacks, chips, salsas & dips",,cookies & crackers
"10292723Walmart Nabisco Newton's Soft Chewy Fig Cookies, 8 Oz pantry candy & snacks snacks, chips, salsas & dips",cookies & crackers,10292723Walmart,"Nabisco Newton's Soft Chewy Fig Cookies, 8 Oz",pantry,candy & snacks,"snacks, chips, salsas & dips",,cookies & crackers
"10292724Walmart Nabisco Chips Ahoy Chocolate Chip Cookies Convenience Pack, 6 oz pantry candy & snacks snacks, chips, salsas & dips",cookies & crackers,10292724Walmart,"Nabisco Chips Ahoy Chocolate Chip Cookies Convenience Pack, 6 oz",pantry,candy & snacks,"snacks, chips, salsas & dips",,cookies & crackers
"10292730Walmart Nabisco Wheat Thins Big Snacks, 8 Oz pantry candy & snacks snacks, chips, salsas & dips",cookies & crackers,10292730Walmart,"Nabisco Wheat Thins Big Snacks, 8 Oz",pantry,candy & snacks,"snacks, chips, salsas & dips",,cookies & crackers
"10292792Walmart Nabisco HandiSnacks Oreo Cookie Sticks 'N Crme Dip Snack Packs, 1 Oz, 6 Count pantry candy & snacks snacks, chips, salsas & dips",cookies & crackers,10292792Walmart,"Nabisco HandiSnacks Oreo Cookie Sticks 'N Crme Dip Snack Packs, 1 Oz, 6 Count",pantry,candy & snacks,"snacks, chips, salsas & dips",,cookies & crackers
"10292794Walmart Nabisco HandiSnacks Premium Breadsticks 'N Cheesy Dip Snack Packs, 109 Oz, 6 Count pantry candy & snacks snacks, chips, salsas & dips",cookies & crackers,10292794Walmart,"Nabisco HandiSnacks Premium Breadsticks 'N Cheesy Dip Snack Packs, 109 Oz, 6 Count",pantry,candy & snacks,"snacks, chips, salsas & dips",,cookies & crackers
"10292955Walmart Herdez Salsa Casera Hot, 7 Ounce pantry candy & snacks snacks, chips, salsas & dips","salsas, dips & spreads",10292955Walmart,"Herdez Salsa Casera Hot, 7 Ounce",pantry,candy & snacks,"snacks, chips, salsas & dips",,"salsas, dips & spreads"
"10292957Walmart Herdez Salsa Verde, 7 Ounce pantry candy & snacks snacks, chips, salsas & dips","salsas, dips & spreads",10292957Walmart,"Herdez Salsa Verde, 7 Ounce",pantry,candy & snacks,"snacks, chips, salsas & dips",,"salsas, dips & spreads"
"10293126Walmart Entenmann's Original Recipe Chocolate Chip Cookies, Soft Baked, 12 oz pantry candy & snacks snacks, chips, salsas & dips",cookies & crackers,10293126Walmart,"Entenmann's Original Recipe Chocolate Chip Cookies, Soft Baked, 12 oz",pantry,candy & snacks,"snacks, chips, salsas & dips",,cookies & crackers
"10293127Walmart Entenmann's Little Bites Blueberry Mini Muffins, 5 pouches pantry candy & snacks snacks, chips, salsas & dips",miscellaneous snacks,10293127Walmart,"Entenmann's Little Bites Blueberry Mini Muffins, 5 pouches",pantry,candy & snacks,"snacks, chips, salsas & dips",,miscellaneous snacks
"10293128Walmart Entenmann's Little Bites Fudge Brownie Mini Muffins, 5 pouches pantry candy & snacks snacks, chips, salsas & dips",miscellaneous snacks,10293128Walmart,"Entenmann's Little Bites Fudge Brownie Mini Muffins, 5 pouches",pantry,candy & snacks,"snacks, chips, salsas & dips",,miscellaneous snacks
"10293724Walmart Snyder's of Hanover Sourdough Nibbler Pretzels Family Size, 16 Oz pantry candy & snacks snacks, chips, salsas & dips",miscellaneous snacks,10293724Walmart,"Snyder's of Hanover Sourdough Nibbler Pretzels Family Size, 16 Oz",pantry,candy & snacks,"snacks, chips, salsas & dips",,miscellaneous snacks
"10293728Walmart Snyder's of Hanover Pretzel Sticks Family Size, 16 Oz pantry candy & snacks snacks, chips, salsas & dips",miscellaneous snacks,10293728Walmart,"Snyder's of Hanover Pretzel Sticks Family Size, 16 Oz",pantry,candy & snacks,"snacks, chips, salsas & dips",,miscellaneous snacks
"10295207Walmart Little Debbie Family Pack Honey Buns, 106 oz pantry candy & snacks snacks, chips, salsas & dips",miscellaneous snacks,10295207Walmart,"Little Debbie Family Pack Honey Buns, 106 oz",pantry,candy & snacks,"snacks, chips, salsas & dips",,miscellaneous snacks
"10295209Walmart Little Debbie Family Pack Swiss Cake Rolls Snack Cakes, 13 oz pantry candy & snacks snacks, chips, salsas & dips",miscellaneous snacks,10295209Walmart,"Little Debbie Family Pack Swiss Cake Rolls Snack Cakes, 13 oz",pantry,candy & snacks,"snacks, chips, salsas & dips",,miscellaneous snacks
"10295251Walmart Little Debbie Big Pack Nutty Bars 12 CT pantry candy & snacks snacks, chips, salsas & dips",cookies & crackers,10295251Walmart,Little Debbie Big Pack Nutty Bars 12 CT,pantry,candy & snacks,"snacks, chips, salsas & dips",,cookies & crackers
"10295312Walmart Life Savers SugarFree Wint O Green Mints, 275 Oz pantry candy & snacks snacks, chips, salsas & dips",candy & chocolate,10295312Walmart,"Life Savers SugarFree Wint O Green Mints, 275 Oz",pantry,candy & snacks,"snacks, chips, salsas & dips",,candy & chocolate
"10295314Walmart Life Savers SugarFree Assorted Flavors Hard Candies, 275 Oz pantry candy & snacks snacks, chips, salsas & dips",candy & chocolate,10295314Walmart,"Life Savers SugarFree Assorted Flavors Hard Candies, 275 Oz",pantry,candy & snacks,"snacks, chips, salsas & dips",,candy & chocolate
"10295315Walmart Life Savers Fruit Variety Hard Candy, 13 Oz pantry candy & snacks snacks, chips, salsas & dips",candy & chocolate,10295315Walmart,"Life Savers Fruit Variety Hard Candy, 13 Oz",pantry,candy & snacks,"snacks, chips, salsas & dips",,candy & chocolate
"10295317Walmart Life Savers Wint O Green Mints, 625 Oz pantry candy & snacks snacks, chips, salsas & dips",candy & chocolate,10295317Walmart,"Life Savers Wint O Green Mints, 625 Oz",pantry,candy & snacks,"snacks, chips, salsas & dips",,candy & chocolate
"10295318Walmart Life Savers Wint O Green Mints, 13 Oz pantry candy & snacks snacks, chips, salsas & dips",candy & chocolate,10295318Walmart,"Life Savers Wint O Green Mints, 13 Oz",pantry,candy & snacks,"snacks, chips, salsas & dips",,candy & chocolate
"10295319Walmart Life Savers Pep O Mints, 13 Oz pantry candy & snacks snacks, chips, salsas & dips",candy & chocolate,10295319Walmart,"Life Savers Pep O Mints, 13 Oz",pantry,candy & snacks,"snacks, chips, salsas & dips",,candy & chocolate
"10295320Walmart Life Savers SugarFree Pep O Mint Mints, 275 Oz pantry candy & snacks snacks, chips, salsas & dips",candy & chocolate,10295320Walmart,"Life Savers SugarFree Pep O Mint Mints, 275 Oz",pantry,candy & snacks,"snacks, chips, salsas & dips",,candy & chocolate
"10295370Walmart Orbit SugarFree Peppermint Flavor Gum, 14 Pieces, 3 Count pantry candy & snacks snacks, chips, salsas & dips",candy & chocolate,10295370Walmart,"Orbit SugarFree Peppermint Flavor Gum, 14 Pieces, 3 Count",pantry,candy & snacks,"snacks, chips, salsas & dips",,candy & chocolate
"10307509Walmart Blue Diamond Almonds Smokehouse, 6 Oz pantry candy & snacks snacks, chips, salsas & dips","nuts, seeds & dried fruit",10307509Walmart,"Blue Diamond Almonds Smokehouse, 6 Oz",pantry,candy & snacks,"snacks, chips, salsas & dips",,"nuts, seeds & dried fruit"
"10307510Walmart Blue Diamond Almonds Roasted Salted Almonds, 6 Oz pantry candy & snacks snacks, chips, salsas & dips","nuts, seeds & dried fruit",10307510Walmart,"Blue Diamond Almonds Roasted Salted Almonds, 6 Oz",pantry,candy & snacks,"snacks, chips, salsas & dips",,"nuts, seeds & dried fruit"
"10307511Walmart Blue Diamond NutThins GlutenFree Nut Rice Cracker Snacks, 425 Oz pantry candy & snacks snacks, chips, salsas & dips",cookies & crackers,10307511Walmart,"Blue Diamond NutThins GlutenFree Nut Rice Cracker Snacks, 425 Oz",pantry,candy & snacks,"snacks, chips, salsas & dips",,cookies & crackers
"10307662Walmart SunMaid Vanilla Yogurt Raisins, 1 Oz, 6 Count pantry candy & snacks snacks, chips, salsas & dips","nuts, seeds & dried fruit",10307662Walmart,"SunMaid Vanilla Yogurt Raisins, 1 Oz, 6 Count",pantry,candy & snacks,"snacks, chips, salsas & dips",,"nuts, seeds & dried fruit"
"10308498Walmart Swedish Fish FatFree Soft Chewy Candies, 14 Oz pantry candy & snacks snacks, chips, salsas & dips",candy & chocolate,10308498Walmart,"Swedish Fish FatFree Soft Chewy Candies, 14 Oz",pantry,candy & snacks,"snacks, chips, salsas & dips",,candy & chocolate
"10308561Walmart Crunch 'N Munch Caramel Popcorn with Peanuts, 6 Oz pantry candy & snacks snacks, chips, salsas & dips",miscellaneous snacks,10308561Walmart,"Crunch 'N Munch Caramel Popcorn with Peanuts, 6 Oz",pantry,candy & snacks,"snacks, chips, salsas & dips",,miscellaneous snacks
"10308688Walmart Toblerone Swiss Milk Chocolate Bars, 35 Oz pantry candy & snacks snacks, chips, salsas & dips",candy & chocolate,10308688Walmart,"Toblerone Swiss Milk Chocolate Bars, 35 Oz",pantry,candy & snacks,"snacks, chips, salsas & dips",,candy & chocolate
"10309318Walmart La Costena Home Style Medium Mexican Salsa, 776 oz pantry candy & snacks snacks, chips, salsas & dips","salsas, dips & spreads",10309318Walmart,"La Costena Home Style Medium Mexican Salsa, 776 oz",pantry,candy & snacks,"snacks, chips, salsas & dips",,"salsas, dips & spreads"
"10309527Walmart New York Style Bagel Crisps, Garlic, 72 Oz pantry candy & snacks snacks, chips, salsas & dips",chips,10309527Walmart,"New York Style Bagel Crisps, Garlic, 72 Oz",pantry,candy & snacks,"snacks, chips, salsas & dips",,chips
"10309682Walmart Nonni's Limone Biscotti, 68 Oz, 8 Count pantry candy & snacks snacks, chips, salsas & dips",cookies & crackers,10309682Walmart,"Nonni's Limone Biscotti, 68 Oz, 8 Count",pantry,candy & snacks,"snacks, chips, salsas & dips",,cookies & crackers
"10309684Walmart Nonni's Cioccolati Dark Chocolate Biscotti, 68 Oz, 8 Count pantry candy & snacks snacks, chips, salsas & dips",cookies & crackers,10309684Walmart,"Nonni's Cioccolati Dark Chocolate Biscotti, 68 Oz, 8 Count",pantry,candy & snacks,"snacks, chips, salsas & dips",,cookies & crackers
"10311198Walmart Tic Tac Freshmints Flavor Mints, 1 Oz, 4 Count pantry candy & snacks snacks, chips, salsas & dips",candy & chocolate,10311198Walmart,"Tic Tac Freshmints Flavor Mints, 1 Oz, 4 Count",pantry,candy & snacks,"snacks, chips, salsas & dips",,candy & chocolate
"10311200Walmart Ferrero Rocher Fine Hazelnut Chocolates, 7 Oz, 16 Count pantry candy & snacks snacks, chips, salsas & dips",candy & chocolate,10311200Walmart,"Ferrero Rocher Fine Hazelnut Chocolates, 7 Oz, 16 Count",pantry,candy & snacks,"snacks, chips, salsas & dips",,candy & chocolate
"10311201Walmart Ferrero Rocher Diamond Gift Box, 106 Oz, 24 Count pantry candy & snacks snacks, chips, salsas & dips",candy & chocolate,10311201Walmart,"Ferrero Rocher Diamond Gift Box, 106 Oz, 24 Count",pantry,candy & snacks,"snacks, chips, salsas & dips",,candy & chocolate
"10311316Walmart Fruit RollUps Strawberry Berry Variety Pack Rolls, 05 Oz 20 Count pantry candy & snacks snacks, chips, salsas & dips",candy & chocolate,10311316Walmart,"Fruit RollUps Strawberry Berry Variety Pack Rolls, 05 Oz 20 Count",pantry,candy & snacks,"snacks, chips, salsas & dips",,candy & chocolate
"10311346Walmart Fruit by the Foot Berry TieDye Rainbow Punch Rolls Value Pack pantry candy & snacks snacks, chips, salsas & dips",candy & chocolate,10311346Walmart,Fruit by the Foot Berry TieDye Rainbow Punch Rolls Value Pack,pantry,candy & snacks,"snacks, chips, salsas & dips",,candy & chocolate
"10311351Walmart Fruit RollUps, By The Foot and Gushers Variety Pack Pouches, 066 Oz, 16 Count pantry candy & snacks snacks, chips, salsas & dips",candy & chocolate,10311351Walmart,"Fruit RollUps, By The Foot and Gushers Variety Pack Pouches, 066 Oz, 16 Count",pantry,candy & snacks,"snacks, chips, salsas & dips",,candy & chocolate
"10312255Walmart Lindt Lindor Assorted Chocolate Truffles, 51 Oz pantry candy & snacks snacks, chips, salsas & dips",candy & chocolate,10312255Walmart,"Lindt Lindor Assorted Chocolate Truffles, 51 Oz",pantry,candy & snacks,"snacks, chips, salsas & dips",,candy & chocolate
"10312260Walmart Lindt Lindor White Chocolate Truffles, 51 Oz pantry candy & snacks snacks, chips, salsas & dips",candy & chocolate,10312260Walmart,"Lindt Lindor White Chocolate Truffles, 51 Oz",pantry,candy & snacks,"snacks, chips, salsas & dips",,candy & chocolate
"10312332Walmart DumDums Assorted Flavors Original Pops, 50 Oz, 300 Count pantry candy & snacks snacks, chips, salsas & dips",candy & chocolate,10312332Walmart,"DumDums Assorted Flavors Original Pops, 50 Oz, 300 Count",pantry,candy & snacks,"snacks, chips, salsas & dips",,candy & chocolate
"10312333Walmart DumDum Original Pops, 16 Oz pantry candy & snacks snacks, chips, salsas & dips",candy & chocolate,10312333Walmart,"DumDum Original Pops, 16 Oz",pantry,candy & snacks,"snacks, chips, salsas & dips",,candy & chocolate
"10312395Walmart Orville Redenbachers Original Gourmet Yellow Popcorn Kernels 45 Oz pantry candy & snacks snacks, chips, salsas & dips",miscellaneous snacks,10312395Walmart,Orville Redenbachers Original Gourmet Yellow Popcorn Kernels 45 Oz,pantry,candy & snacks,"snacks, chips, salsas & dips",,miscellaneous snacks
"10312396Walmart Orville Redenbacher's Movie Theater Butter Popcorn, 39 Oz pantry candy & snacks snacks, chips, salsas & dips",miscellaneous snacks,10312396Walmart,"Orville Redenbacher's Movie Theater Butter Popcorn, 39 Oz",pantry,candy & snacks,"snacks, chips, salsas & dips",,miscellaneous snacks
"10312412Walmart Orville Redenbacher's Popping Topping Buttery Flavored Oil, 16 Fl Oz pantry candy & snacks snacks, chips, salsas & dips",miscellaneous snacks,10312412Walmart,"Orville Redenbacher's Popping Topping Buttery Flavored Oil, 16 Fl Oz",pantry,candy & snacks,"snacks, chips, salsas & dips",,miscellaneous snacks
"10312565Walmart Archway Classics Soft Frosty Lemon Cookies, 925 Oz pantry candy & snacks snacks, chips, salsas & dips",cookies & crackers,10312565Walmart,"Archway Classics Soft Frosty Lemon Cookies, 925 Oz",pantry,candy & snacks,"snacks, chips, salsas & dips",,cookies & crackers
"10312571Walmart Archway Iced Oatmeal Soft Cookies, 925 Oz pantry candy & snacks snacks, chips, salsas & dips",cookies & crackers,10312571Walmart,"Archway Iced Oatmeal Soft Cookies, 925 Oz",pantry,candy & snacks,"snacks, chips, salsas & dips",,cookies & crackers
"10312601Walmart Quaker GlutenFree Caramel Flavored Rice Cakes, 65 Oz pantry candy & snacks snacks, chips, salsas & dips",cookies & crackers,10312601Walmart,"Quaker GlutenFree Caramel Flavored Rice Cakes, 65 Oz",pantry,candy & snacks,"snacks, chips, salsas & dips",,cookies & crackers
"10312635Walmart Quaker Cheddar Cheese Rice Crisps, 606 Oz pantry candy & snacks snacks, chips, salsas & dips",chips,10312635Walmart,"Quaker Cheddar Cheese Rice Crisps, 606 Oz",pantry,candy & snacks,"snacks, chips, salsas & dips",,chips
"10313181Walmart Old El Paso Thick 'n Chunky Mild Salsa 24 oz Jar, 240 OZ pantry candy & snacks snacks, chips, salsas & dips","salsas, dips & spreads",10313181Walmart,"Old El Paso Thick 'n Chunky Mild Salsa 24 oz Jar, 240 OZ",pantry,candy & snacks,"snacks, chips, salsas & dips",,"salsas, dips & spreads"
"10314033Walmart Stauffer's Whales Cheddar Cheese Baked Snack Crackers, 16 Oz pantry candy & snacks snacks, chips, salsas & dips",cookies & crackers,10314033Walmart,"Stauffer's Whales Cheddar Cheese Baked Snack Crackers, 16 Oz",pantry,candy & snacks,"snacks, chips, salsas & dips",,cookies & crackers
"10314955Walmart Great Value Yellow Popping Corn, 32 Oz pantry candy & snacks snacks, chips, salsas & dips",miscellaneous snacks,10314955Walmart,"Great Value Yellow Popping Corn, 32 Oz",pantry,candy & snacks,"snacks, chips, salsas & dips",,miscellaneous snacks
"10315165Walmart Great Value Fruit Grain Cereal Bars, Strawberry, 104 oz, 8 Count pantry candy & snacks snacks, chips, salsas & dips",nutrition & granola bars,10315165Walmart,"Great Value Fruit Grain Cereal Bars, Strawberry, 104 oz, 8 Count",pantry,candy & snacks,"snacks, chips, salsas & dips",,nutrition & granola bars
"10315227Walmart Great Value Fruit Grain Cereal Bars, Apple Cinnamon, 104 oz, 8 Count pantry candy & snacks snacks, chips, salsas & dips",nutrition & granola bars,10315227Walmart,"Great Value Fruit Grain Cereal Bars, Apple Cinnamon, 104 oz, 8 Count",pantry,candy & snacks,"snacks, chips, salsas & dips",,nutrition & granola bars
"10315228Walmart Great Value Fruit Grain Cereal Bars, Mixed Berry, 104 oz, 8 Count pantry candy & snacks snacks, chips, salsas & dips",nutrition & granola bars,10315228Walmart,"Great Value Fruit Grain Cereal Bars, Mixed Berry, 104 oz, 8 Count",pantry,candy & snacks,"snacks, chips, salsas & dips",,nutrition & granola bars
"10315375Walmart Great Value Original Saltine Crackers, 16 Oz, 4 Count pantry candy & snacks snacks, chips, salsas & dips",cookies & crackers,10315375Walmart,"Great Value Original Saltine Crackers, 16 Oz, 4 Count",pantry,candy & snacks,"snacks, chips, salsas & dips",,cookies & crackers
"10315397Walmart Great Value Unsalted Tops Saltine Crackers, 16 Oz, 4 Count pantry candy & snacks snacks, chips, salsas & dips",cookies & crackers,10315397Walmart,"Great Value Unsalted Tops Saltine Crackers, 16 Oz, 4 Count",pantry,candy & snacks,"snacks, chips, salsas & dips",,cookies & crackers
"10315426Walmart Great Value Trail Mix Fruit Nut Chewy Granola Bars 123 oz 6 count pantry candy & snacks snacks, chips, salsas & dips",nutrition & granola bars,10315426Walmart,Great Value Trail Mix Fruit Nut Chewy Granola Bars 123 oz 6 count,pantry,candy & snacks,"snacks, chips, salsas & dips",,nutrition & granola bars
